Reservoir_name,Basin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
HARIHARJHOR,Mahanadi Basin,CWC,21.0333333,84.0333333,25-02-2025,2025,2,147.5,0.059,NA,NA
HARIHARJHOR,Mahanadi Basin,CWC,21.0333333,84.0333333,26-02-2025,2025,2,147.5,0.059,NA,NA
Harangi Reservoir,Cauvery Basin,CWC,12.49243766,75.87487265,06-02-2025,2025,2,871.42,0.22,0.08762,864.687
Harangi Reservoir,Cauvery Basin,CWC,12.49243766,75.87487265,08-02-2025,2025,2,871.42,0.22,0.08768,864.693
Harangi Reservoir,Cauvery Basin,CWC,12.49243766,75.87487265,23-02-2025,2025,2,871.42,0.22,0.08791,864.715
Harangi Reservoir,Cauvery Basin,CWC,12.49243766,75.87487265,27-02-2025,2025,2,871.42,0.22,0.08765,864.69
Hathmati,Sabarmati Basin,CWC,23.71012116,73.20770095,01-02-2025,2025,2,180.74,0.153,NA,NA
Hathmati,Sabarmati Basin,CWC,23.71012116,73.20770095,02-02-2025,2025,2,180.74,0.153,NA,NA
Hathmati,Sabarmati Basin,CWC,23.71012116,73.20770095,12-02-2025,2025,2,180.74,0.153,NA,NA
Hathmati,Sabarmati Basin,CWC,23.71012116,73.20770095,20-02-2025,2025,2,180.74,0.153,0.05915,178.06
Hathmati,Sabarmati Basin,CWC,23.71012116,73.20770095,22-02-2025,2025,2,180.74,0.153,NA,NA
Hathmati,Sabarmati Basin,CWC,23.71012116,73.20770095,26-02-2025,2025,2,180.74,0.153,NA,NA
Hemavathy Reservoir,Cauvery Basin,CWC,12.82820487,76.00971821,09-02-2025,2025,2,890.63,0.927,0.47459,884.581
Hemavathy Reservoir,Cauvery Basin,CWC,12.82820487,76.00971821,10-02-2025,2025,2,890.63,0.927,0.47362,884.566
Hemavathy Reservoir,Cauvery Basin,CWC,12.82820487,76.00971821,11-02-2025,2025,2,890.63,0.927,0.47326,884.56
Hemavathy Reservoir,Cauvery Basin,CWC,12.82820487,76.00971821,26-02-2025,2025,2,890.63,0.927,0.46623,884.447
Hirakud Reservoir,Mahanadi Basin,CWC,21.63383268,83.80547031,01-02-2025,2025,2,192.02,5.378,NA,NA
Hirakud Reservoir,Mahanadi Basin,CWC,21.63383268,83.80547031,05-02-2025,2025,2,192.02,5.378,NA,NA
Hirakud Reservoir,Mahanadi Basin,CWC,21.63383268,83.80547031,10-02-2025,2025,2,192.02,5.378,NA,NA
Hirakud Reservoir,Mahanadi Basin,CWC,21.63383268,83.80547031,14-02-2025,2025,2,192.02,5.378,NA,NA
